# Simulation 2 (Up to date),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# 889 data points written for 53 variables.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52
# Time (s),Altitude (m),Vertical velocity (m/s),Vertical acceleration (m/s²),Total velocity (m/s),Total acceleration (m/s²),Position East of launch (m),Position North of launch (m),Lateral distance (m),Lateral direction (°),Lateral velocity (m/s),Lateral acceleration (m/s²),Latitude (°),Longitude (°),Gravitational acceleration (m/s²),Angle of attack (°),Roll rate (°/s),Pitch rate (°/s),Yaw rate (°/s),Mass (g),Longitudinal moment of inertia (kg·m²),Rotational moment of inertia (kg·m²),CP location (cm),CG location (cm),Stability margin calibers (​),Mach number (​),Reynolds number (​),Thrust (N),Drag force (N),Drag coefficient (​),Axial drag coefficient (​),Friction drag coefficient (​),Pressure drag coefficient (​),Base drag coefficient (​),Normal force coefficient (​),Pitch moment coefficient (​),Yaw moment coefficient (​),Side force coefficient (​),Roll moment coefficient (​),Roll forcing coefficient (​),Roll damping coefficient (​),Pitch damping coefficient (​),Coriolis acceleration (m/s²),Reference length (cm),Reference area (cm²),Vertical orientation (zenith) (°),Lateral orientation (azimuth) (°),Wind velocity (m/s),Air temperature (°C),Air pressure (mbar),Speed of sound (m/s),Simulation time step (s),Computation time (s)
# Event IGNITION occurred at t=0 seconds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Event LAUNCH occurred at t=0 seconds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.002,-5.88E-06,-0.006,-2.942,0.006,2.942,0,0,0,0,0,0,52.671,-1.525,9.813,90.072,0,0,0,649.542,0.038,1.58E-04,NaN,45.918,NaN,0.014,2.65E+05,4.463,0,0.666,0,0.519,0.027,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.20E-07,4.111,13.273,90,0,4.687,14.35,1001.522,339.995,0.002,0.025
0.004,1.11E-05,0.011,5.55,0.011,5.55,0,0,0,0,0,0,52.671,-1.525,9.813,89.864,0,0,0,649.501,0.038,1.58E-04,NaN,45.916,NaN,0.014,2.65E+05,9.978,0,0.666,2.22E-08,0.519,0.027,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9.82E-07,4.111,13.273,90,0,4.688,14.35,1001.522,339.995,0.002,0.028
0.006,5.93E-05,0.037,12.993,0.037,12.993,0,0,0,0,0,0,52.671,-1.525,9.813,89.547,0,0,0,649.46,0.038,1.58E-04,NaN,45.914,NaN,0.014,2.65E+05,14.811,1.46E-08,0.666,8.25E-07,0.519,0.027,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.28E-06,4.111,13.273,90,0,4.689,14.35,1001.522,339.995,0.002,0.031
0.008,1.74E-04,0.078,20.437,0.078,20.437,0,0,0,0,0,0,52.671,-1.525,9.813,89.048,0,0,0,649.419,0.038,1.58E-04,NaN,45.912,NaN,0.014,2.65E+05,19.644,1.35E-07,0.666,7.62E-06,0.519,0.027,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.89E-06,4.111,13.273,90,0,4.69,14.35,1001.522,339.995,0.002,0.034
0.01,3.86E-04,0.134,27.881,0.134,27.881,0,0,0,0,0,0,52.671,-1.525,9.813,88.367,0,0,0,649.378,0.038,1.58E-04,NaN,45.91,NaN,0.014,2.66E+05,24.478,6.76E-07,0.666,3.81E-05,0.519,0.027,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.18E-05,4.111,13.273,90,0,4.691,14.35,1001.522,339.995,0.002,0.037
0.012,7.24E-04,0.204,35.327,0.204,35.327,0,0,0,0,0,0,52.671,-1.525,9.813,87.506,0,0,0,649.337,0.038,1.58E-04,NaN,45.908,NaN,0.014,2.66E+05,29.311,2.39E-06,0.666,1.35E-04,0.519,0.027,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.81E-05,4.111,13.273,90,0,4.692,14.35,1001.522,339.995,0.002,0.039
0.014,0.001,0.29,42.773,0.29,42.773,0,0,0,0,0,0,52.671,-1.525,9.813,86.465,0,0,0,649.296,0.038,1.58E-04,NaN,45.906,NaN,0.014,2.66E+05,34.144,6.75E-06,0.666,3.79E-04,0.519,0.027,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.56E-05,4.111,13.273,90,0,4.693,14.35,1001.522,339.995,0.002,0.042
0.016,0.002,0.39,50.221,0.39,50.221,0,0,0,0,0,0,52.671,-1.525,9.813,85.246,0,0,0,649.254,0.038,1.58E-04,NaN,45.904,NaN,0.014,2.67E+05,38.977,1.63E-05,0.666,9.10E-04,0.519,0.027,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.45E-05,4.111,13.273,90,0,4.694,14.35,1001.521,339.995,0.002,0.044
0.018,0.003,0.506,57.669,0.506,57.669,0,0,0,0,0,0,52.671,-1.525,9.813,83.852,0,0,0,649.213,0.038,1.58E-04,NaN,45.902,NaN,0.014,2.67E+05,43.81,3.48E-05,0.666,0.002,0.518,0.027,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.47E-05,4.111,13.273,90,0,4.695,14.35,1001.521,339.995,0.002,0.046
0.02,0.004,0.636,65.119,0.636,65.119,0,0,0,0,0,0,52.671,-1.525,9.813,82.288,0,0,0,649.172,0.038,1.58E-04,NaN,45.9,NaN,0.014,2.68E+05,48.643,6.79E-05,0.665,0.004,0.518,0.027,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.62E-05,4.111,13.273,90,0,4.696,14.35,1001.521,339.995,0.002,0.048
0.022,0.005,0.781,72.569,0.781,72.569,0,0,0,0,0,0,52.671,-1.525,9.813,80.559,0,0,0,649.131,0.038,1.58E-04,NaN,45.897,NaN,0.014,2.69E+05,53.477,1.23E-04,0.665,0.007,0.517,0.027,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.91E-05,4.111,13.273,90,0,4.697,14.35,1001.521,339.995,0.002,0.05
0.024,0.007,0.941,80.02,0.941,80.02,0,0,0,0,0,0,52.671,-1.525,9.813,78.672,0,0,0,649.09,0.038,1.58E-04,NaN,45.895,NaN,0.014,2.71E+05,58.31,2.11E-04,0.664,0.011,0.517,0.027,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.32E-05,4.111,13.273,90,0,4.698,14.35,1001.521,339.995,0.002,0.052
0.026,0.009,1.116,87.472,1.116,87.472,0,0,0,0,0,0,52.671,-1.525,9.813,76.639,0,0,0,649.049,0.038,1.58E-04,NaN,45.893,NaN,0.014,2.73E+05,63.143,3.43E-04,0.663,0.018,0.516,0.027,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9.87E-05,4.111,13.273,90,0,4.699,14.35,1001.521,339.995,0.002,0.054
0.028,0.012,1.304,93.769,1.304,93.769,0,0,0,0,0,0,52.671,-1.525,9.813,74.498,0,0,0,648.994,0.038,1.58E-04,NaN,45.891,NaN,0.014,2.76E+05,67.224,5.31E-04,0.662,0.028,0.515,0.027,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.15E-04,4.111,13.273,90,0,4.7,14.35,1001.52,339.995,0.002,0.055
0.03,0.014,1.49,93.118,1.49,93.118,0,0,0,0,0,0,52.671,-1.525,9.813,72.415,0,0,0,648.925,0.038,1.58E-04,NaN,45.887,NaN,0.015,2.79E+05,66.795,7.71E-04,0.661,0.039,0.513,0.027,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.32E-04,4.111,13.273,90,0,4.701,14.35,1001.52,339.995,0.002,0.057
0.032,0.018,1.672,91.309,1.672,91.309,0,0,0,0,0,0,52.671,-1.525,9.813,70.419,0,0,0,648.857,0.038,1.58E-04,NaN,45.884,NaN,0.015,2.82E+05,65.614,0.001,0.659,0.053,0.512,0.027,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.48E-04,4.111,13.273,90,0,4.702,14.35,1001.52,339.995,0.002,0.062
# Event LIFTOFF occurred at t=0.034 seconds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.034,0.021,1.851,89.499,1.851,89.499,0,0,0,0,0,0,52.671,-1.525,9.813,68.511,0,0,0,648.789,0.038,1.58E-04,NaN,45.88,NaN,0.015,2.86E+05,64.434,0.001,0.658,0.068,0.51,0.027,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.64E-04,4.111,13.273,90,0,4.703,14.35,1001.519,339.995,0.002,0.064
0.036,0.025,2.027,87.689,2.027,87.689,0,0,0,0,0,0,52.671,-1.525,9.813,66.689,0,0,0,648.72,0.038,1.58E-04,NaN,45.877,NaN,0.015,2.90E+05,63.253,0.002,0.656,0.085,0.509,0.027,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.79E-04,4.111,13.273,90,0,4.704,14.35,1001.519,339.995,0.002,0.067
0.038,0.029,2.198,85.878,2.198,85.878,0,0,0,0,0,0,52.671,-1.525,9.813,64.953,0,0,0,648.652,0.038,1.58E-04,NaN,45.873,NaN,0.015,2.94E+05,62.072,0.002,0.655,0.102,0.507,0.027,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.94E-04,4.111,13.273,90,0,4.704,14.35,1001.518,339.995,0.002,0.068
0.04,0.034,2.367,84.067,2.367,84.067,0,0,0,0,0,0,52.671,-1.525,9.813,63.3,0,0,0,648.583,0.038,1.58E-04,NaN,45.87,NaN,0.015,2.98E+05,60.891,0.003,0.653,0.121,0.506,0.027,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.09E-04,4.111,13.273,90,0,4.705,14.35,1001.518,339.995,0.002,0.07
0.042,0.039,2.531,82.255,2.531,82.255,0,0,0,0,0,0,52.671,-1.525,9.813,61.729,0,0,0,648.515,0.038,1.58E-04,NaN,45.866,NaN,0.016,3.02E+05,59.711,0.003,0.652,0.14,0.504,0.027,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.24E-04,4.111,13.273,90,0,4.706,14.35,1001.517,339.995,0.002,0.072
