Time(s),Altitude(Baro-Ft-AGL),Altitude (m)
0.04375,-0.896606,-0.273285509
0.09375,-0.896606,-0.273285509
0.14375,-0.896606,-0.273285509
0.19375,0.22168,0.067568064
0.24375,0.22168,0.067568064
0.295,2.47559,0.754559832
0.345,3.60254,1.098054192
0.395,4.72949,1.441548552
0.445,4.72949,1.441548552
0.495,5.85645,1.78504596
0.545,9.2287,2.81290776
0.595,11.4826,3.49989648
0.645,11.4826,3.49989648
0.695,13.7365,4.1868852
0.745,17.1088,5.21476224
0.795,21.6079,6.58608792
0.845,27.2427,8.30357496
0.895,32.8689,10.01844072
0.945,40.7576,12.42291648
0.995,48.6464,14.82742272
1.045,57.662,17.5753776
1.095,66.6777,20.32336296
1.145,74.5665,22.7278692
1.195,81.3369,24.79148712
1.245,89.2344,27.19864512
1.295,97.1318,29.60577264
1.345,105.029,32.0128392
1.395,111.808,34.0790784
1.445,119.706,36.4863888
1.495,127.612,38.8961376
1.545,137.78,41.995344
1.595,147.949,45.0948552
1.645,158.118,48.1943664
1.695,168.295,51.296316
1.745,178.472,54.3982656
1.795,189.785,57.846468
1.845,199.971,60.9511608
1.895,209.03,63.712344
1.945,218.089,66.4735272
1.995,228.284,69.5809632
2.045,238.479,72.6883992
2.095,248.674,75.7958352
2.145,257.75,78.5622
2.195,267.953,81.6720744
2.245,277.03,84.438744
2.295,284.97,86.858856
2.345,292.911,89.2792728
2.395,300.861,91.7024328
2.445,308.801,94.1225448
2.495,316.751,96.5457048
2.545,324.7,98.96856
2.595,332.658,101.3941584
2.645,340.608,103.8173184
2.695,348.566,106.2429168
2.745,356.524,108.6685152
2.795,363.346,110.7478608
2.845,372.449,113.5224552
2.895,379.28,115.604544
2.945,387.238,118.0301424
2.995,395.205,120.458484
3.045,402.044,122.5430112
3.095,410.011,124.9713528
3.145,416.842,127.0534416
3.195,423.682,129.1382736
3.245,430.513,131.2203624
3.295,437.353,133.3051944
3.345,444.193,135.3900264
3.395,451.033,137.4748584
3.445,457.872,139.5593856
3.495,464.721,141.6469608
3.545,471.561,143.7317928
3.595,477.273,145.4728104
3.645,482.978,147.2116944
3.695,489.826,149.2989648
3.745,495.53,151.037544
3.795,501.243,152.7788664
3.845,506.956,154.5201888
3.895,512.66,156.258768
3.945,518.373,158.0000904
3.995,524.086,159.7414128
4.045,529.799,161.4827352
4.095,535.52,163.226496
4.145,541.233,164.9678184
4.195,546.946,166.7091408
4.245,551.523,168.1042104
4.295,557.245,169.848276
4.345,561.822,171.2433456
4.395,567.535,172.984668
4.445,572.112,174.3797376
4.495,577.842,176.1262416
4.545,582.419,177.5213112
4.595,586.996,178.9163808
4.645,591.573,180.3114504
4.695,596.151,181.7068248
4.745,600.737,183.1046376
4.795,604.169,184.1507112
4.845,608.755,185.548524
4.895,612.188,186.5949024
4.945,616.774,187.9927152
4.995,620.207,189.0390936
5.045,624.793,190.4369064
5.095,628.234,191.4857232
5.145,631.676,192.5348448
5.195,635.109,193.5812232
5.245,638.551,194.6303448
5.295,641.992,195.6791616
5.345,645.434,196.7282832
5.395,648.867,197.7746616
5.445,652.308,198.8234784
5.495,654.605,199.523604
5.545,658.047,200.5727256
5.595,661.489,201.6218472
5.645,663.786,202.3219728
5.695,667.227,203.3707896
5.745,669.525,204.07122
5.795,672.966,205.1200368
5.845,675.263,205.8201624
5.895,677.552,206.5178496
5.945,679.849,207.2179752
5.995,682.147,207.9184056
6.045,684.444,208.6185312
6.095,686.741,209.3186568
6.145,689.038,210.0187824
6.195,690.183,210.3677784
6.245,692.48,211.067904
6.295,694.777,211.7680296
6.345,697.074,212.4681552
6.395,698.227,212.8195896
6.445,700.525,213.52002
6.495,701.669,213.8687112
6.545,702.822,214.2201456
6.595,703.966,214.5688368
6.645,705.119,214.9202712
6.695,706.264,215.2692672
6.745,707.417,215.6207016
6.795,708.561,215.9693928
6.845,708.561,215.9693928
6.895,709.714,216.3208272
6.945,709.714,216.3208272
6.995,710.858,216.6695184
7.045,709.714,216.3208272
7.095,710.858,216.6695184
7.145,712.011,217.0209528
7.195,712.011,217.0209528
7.245,713.155,217.369644
7.295,695.93,212.119464
7.345,701.669,213.8687112
7.395,706.264,215.2692672
7.445,710.858,216.6695184
7.495,714.308,217.7210784
7.545,715.453,218.0700744
7.595,715.453,218.0700744
7.645,715.453,218.0700744
7.695,715.453,218.0700744
7.745,714.308,217.7210784
7.795,713.155,217.369644
7.845,712.011,217.0209528
7.895,710.858,216.6695184
7.945,709.714,216.3208272
7.995,708.561,215.9693928
8.045,707.417,215.6207016
8.095,706.264,215.2692672
8.145,707.417,215.6207016
8.195,706.264,215.2692672
8.245,706.264,215.2692672
8.295,706.264,215.2692672
8.345,703.966,214.5688368
8.395,700.525,213.52002
8.445,699.372,213.1685856
8.495,697.074,212.4681552
8.545,698.227,212.8195896
8.595,697.074,212.4681552
8.645,698.227,212.8195896
8.695,694.777,211.7680296
8.745,691.336,210.7192128
8.795,692.48,211.067904
8.845,691.336,210.7192128
8.895,691.336,210.7192128
8.945,690.183,210.3677784
8.995,690.183,210.3677784
9.045,689.038,210.0187824
9.095,689.038,210.0187824
9.145,690.183,210.3677784
9.195,685.588,208.9672224
9.245,679.849,207.2179752
9.295,676.408,206.1691584
9.345,676.408,206.1691584
9.395,676.408,206.1691584
9.445,675.263,205.8201624
9.495,675.263,205.8201624
9.545,674.11,205.468728
9.595,674.11,205.468728
9.645,672.966,205.1200368
9.695,671.813,204.7686024
9.745,672.966,205.1200368
9.795,668.372,203.7197856
9.845,662.633,201.9705384
9.895,658.047,200.5727256
9.945,656.903,200.2240344
9.995,658.047,200.5727256
10.045,656.903,200.2240344
10.095,658.047,200.5727256
10.145,656.903,200.2240344
10.195,655.75,199.8726
10.245,654.605,199.523604
10.295,651.164,198.4747872
10.345,646.578,197.0769744
10.395,641.992,195.6791616
10.445,638.551,194.6303448
10.495,637.406,194.2813488
10.545,635.109,193.5812232
10.595,635.109,193.5812232
10.645,632.82,192.883536
10.695,631.676,192.5348448
10.745,629.379,191.8347192
10.795,628.234,191.4857232
10.845,627.09,191.137032
10.895,624.793,190.4369064
10.945,623.649,190.0882152
10.995,621.36,189.390528
11.045,621.36,189.390528
11.095,620.207,189.0390936
11.145,616.774,187.9927152
11.195,613.333,186.9438984
11.245,612.188,186.5949024
11.295,611.044,186.2462112
11.345,609.9,185.89752
11.395,609.9,185.89752
11.445,607.611,185.1998328
11.495,606.458,184.8483984
11.545,604.169,184.1507112
11.595,600.737,183.1046376
11.645,599.592,182.7556416
11.695,598.448,182.4069504
11.745,597.295,182.055516
11.795,596.151,181.7068248
11.845,596.151,181.7068248
11.895,595.006,181.3578288
11.945,595.006,181.3578288
11.995,592.718,180.6604464
12.045,586.996,178.9163808
12.095,582.419,177.5213112
12.145,578.986,176.4749328
12.195,577.842,176.1262416
12.245,576.698,175.7775504
12.295,576.698,175.7775504
12.345,575.545,175.426116
12.395,574.4,175.07712
12.445,576.698,175.7775504
12.495,575.545,175.426116
12.545,574.4,175.07712
12.595,570.967,174.0307416
12.645,568.679,173.3333592
12.695,566.399,172.6384152
12.745,564.11,171.940728
12.795,562.957,171.5892936
12.845,562.957,171.5892936
12.895,560.677,170.8943496
12.945,558.389,170.1969672
12.995,554.956,169.1505888
13.045,551.523,168.1042104
13.095,546.946,166.7091408
13.145,544.666,166.0141968
13.195,542.377,165.3165096
13.245,541.233,164.9678184
13.295,540.089,164.6191272
13.345,538.944,164.2701312
13.395,538.944,164.2701312
13.445,537.8,163.92144
13.495,537.8,163.92144
13.545,536.656,163.5727488
13.595,536.656,163.5727488
13.645,536.656,163.5727488
13.695,536.656,163.5727488
13.745,535.52,163.226496
13.795,534.376,162.8778048
13.845,532.087,162.1801176
13.895,529.799,161.4827352
13.945,527.519,160.7877912
13.995,525.23,160.090104
14.045,524.086,159.7414128
14.095,521.806,159.0464688
14.145,519.517,158.3487816
14.195,518.373,158.0000904
14.245,516.093,157.3051464
14.295,513.804,156.6074592
14.345,511.525,155.91282
14.395,512.66,156.258768
14.445,513.804,156.6074592
14.495,512.66,156.258768
14.545,511.525,155.91282
14.595,509.236,155.2151328
14.645,506.956,154.5201888
14.695,504.667,153.8225016
14.745,501.243,152.7788664
