Time,Altitude
0.0,0.0
0.2,2.239
0.4,4.478
0.6,6.716
0.8,8.955
1.0,15.102
1.2,25.032
1.4,34.32
1.6,45.405
1.8,58.157
2.0,69.892
2.2,81.949
2.4,91.944
2.6,101.636
2.8,111.025
3.0,120.667
3.2,129.346
3.4,137.683
3.6,145.647
3.8,152.953
4.0,159.916
4.2,166.849
4.4,173.124
4.6,179.056
4.8,184.29
5.0,189.179
5.2,193.686
5.4,197.88
5.6,201.692
5.8,205.19
6.0,207.988
6.2,210.438
6.4,212.89
6.6,214.604
6.8,215.969
7.0,216.635
7.2,217.056
7.4,215.409
7.6,218.07
7.8,217.335
8.0,215.935
8.2,215.269
8.4,213.485
8.6,212.503
8.8,211.033
9.0,210.333
9.2,208.792
9.4,206.134
9.6,205.434
9.8,203.545
10.0,200.538
10.2,199.838
10.4,195.574
10.6,193.511
10.8,191.451
11.0,189.391
11.2,186.909
11.4,185.828
11.6,183.07
11.8,181.707
12.0,180.486
12.2,176.091
12.4,175.147
12.6,173.961
12.8,171.589
13.0,169.046
13.2,165.282
13.4,164.235
13.6,163.573
13.8,162.808
14.0,160.055
14.2,157.931
14.4,156.294
14.6,155.146
14.8,152.012
15.0,150.622
15.2,147.142
15.4,145.055
15.6,143.628
15.8,140.917
16.0,139.144
16.2,137.405
16.4,135.355
16.6,133.619
16.8,131.5
17.0,129.103
17.2,128.06
17.4,125.978
17.6,123.861
17.8,121.433
18.0,117.996
18.2,115.5
18.4,112.76
18.6,111.408
18.8,109.64
19.0,107.249
19.2,104.824
19.4,101.325
19.6,98.173
19.8,95.438
20.0,93.049
20.2,90.975
20.4,89.21
20.6,86.79
20.8,84.713
21.0,82.295
21.2,79.875
21.4,78.216
21.6,77.177
21.8,77.87
22.0,77.489
22.2,75.761
22.4,74.001
22.6,70.857
22.8,68.511
23.0,66.783
23.2,64.333
23.4,60.882
23.6,57.812
23.8,56.055
24.0,52.263
24.2,50.229
24.4,48.506
24.6,46.783
24.8,46.472
25.0,43.993
25.2,41.926
25.4,39.482
25.6,38.896
25.8,37.829
26.0,37.794
26.2,35.007
26.4,32.082
26.6,29.468
26.8,25.788
27.0,23.727
27.2,22.041
27.4,20.564
27.6,17.163
27.8,14.415
28.0,12.045
28.2,10.98
28.4,8.922
28.6,6.895
28.8,5.18
29.0,4.221
29.2,2.401
29.4,-0.685
29.6,-2.744
29.8,-2.675
30.0,-4.458
30.2,-7.92
30.4,-10.248
30.6,-10.901
30.8,-10.901
31.0,-11.276
31.2,-11.241
31.4,-11.585
31.6,-11.585
31.8,-11.585
32.0,-11.585
32.2,-11.585
32.4,-11.585
32.6,-11.585
32.8,-11.585
33.0,-11.585
33.2,-11.585
33.4,-11.928
33.6,-11.585
33.8,-11.585
34.0,-11.585
34.2,-11.894
34.4,-11.585
34.6,-11.585
34.8,-11.585
35.0,-11.241
35.2,-11.241
35.4,-11.585
