Time,Altitude
0.0,11.214
0.2,14.745
0.4,21.89
0.6,32.731
0.8,47.353
1.0,65.835
1.2,83.852
1.4,101.408
1.6,118.506
1.8,135.15
2.0,151.343
2.2,167.088
2.4,182.389
2.6,197.247
2.8,211.667
3.0,225.651
3.2,239.201
3.4,252.32
3.6,265.01
3.8,277.275
4.0,289.115
4.2,300.533
4.4,311.531
4.6,322.111
4.8,332.275
5.0,342.025
5.2,351.362
5.4,360.288
5.6,368.805
5.8,376.914
6.0,384.616
6.2,391.913
6.4,398.806
6.6,405.297
6.8,411.385
7.0,417.073
7.2,422.362
7.4,427.251
7.6,431.743
7.8,435.837
8.0,439.535
8.2,442.837
8.4,445.743
8.6,448.255
8.8,450.372
9.0,452.096
9.2,453.425
9.4,454.362
9.6,454.905
9.8,455.055
10.0,454.812
10.2,454.177
10.4,453.149
10.6,451.728
10.8,449.916
11.0,447.712
11.2,445.116
11.4,442.13
11.6,438.752
11.8,434.985
12.0,430.828
12.2,426.282
12.4,421.348
12.6,416.026
12.8,410.318
13.0,404.224
13.2,397.745
13.4,390.882
13.6,383.636
13.8,376.009
14.0,368.001
14.2,359.613
14.4,350.848
14.6,341.706
14.8,332.188
15.0,322.296
15.2,312.032
15.4,301.398
15.6,290.394
15.8,279.022
16.0,267.284
16.2,255.183
16.4,242.719
16.6,229.894
16.8,216.711
17.0,203.172
17.2,189.278
17.4,175.032
17.6,160.435
17.8,145.49
18.0,130.199
18.2,114.564
18.4,98.588
18.6,82.273
18.8,65.621
19.0,48.634
19.2,31.316
19.4,13.668
19.6,-4.306
