# Simulation 1 (Up to date)
# 0,
# Time (s),Altitude (m),Vertical velocity (m/s),Vertical acceleration (m/s²),Total velocity (m/s),Total acceleration (m/s²),Position East of launch (m),Position North of launch (m),Lateral distance (m),Lateral direction (°),Lateral velocity (m/s),Lateral acceleration (m/s²),Latitude (°),Longitude (°),Gravitational acceleration (m/s²),Angle of attack (°),Roll rate (°/s),Pitch rate (°/s),Yaw rate (°/s),Mass (g),Motor mass (g),Longitudinal moment of inertia (kg·m²),Rotational moment of inertia (kg·m²),CP location (cm),CG location (cm),Stability margin calibers (​),Mach number (​),Reynolds number (​),Thrust (N),Drag force (N),Drag coefficient (​),Axial drag coefficient (​),Friction drag coefficient (​),Pressure drag coefficient (​),Base drag coefficient (​),Normal force coefficient (​),Pitch moment coefficient (​),Yaw moment coefficient (​),Side force coefficient (​),Roll moment coefficient (​),Roll forcing coefficient (​),Roll damping coefficient (​),Pitch damping coefficient (​),Coriolis acceleration (m/s²),Reference length (cm),Reference area (cm²),Vertical orientation (zenith) (°),Lateral orientation (azimuth) (°),Wind velocity (m/s),Air temperature (°C),Air pressure (mbar),Speed of sound (m/s),Simulation time step (s),Computation time (s)
0.01,5.847e-4,0.117,11.697,0.117,11.697,0,0,0,0,0,0,28.61,-80.6,9.792,87.178,0,0,0,7833.989,951.989,2.049,7.095e-4,NaN,124.038,NaN,0.007,3.355e5,168.344,2.776e-5,3.356,9.795e-4,0.434,0.002,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.497e-5,10.22,82.034,90,0,2.372,15,1013.25,340.389,0.01,0.004
0.02,0.004,0.664,54.69,0.664,54.69,0,0,0,0,0,0,28.61,-80.6,9.792,74.289,0,0,0,7832.071,950.071,2.048,7.091e-4,NaN,124.019,NaN,0.007,3.463e5,505.031,0.004,3.353,0.146,0.431,0.002,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.498e-5,10.22,82.034,90,0,2.36,15,1013.249,340.389,0.01,0.005
0.03,0.016,1.561,89.705,1.561,89.705,0,0,0,0,0,0,28.61,-80.6,9.792,56.384,0,0,0,7829.084,947.084,2.046,7.086e-4,NaN,123.989,NaN,0.008,3.983e5,779.013,0.044,3.34,1.11,0.418,0.002,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.998e-4,10.22,82.034,90,0,2.347,15,1013.248,340.389,0.01,0.006
0.04,0.036,2.479,91.81,2.479,91.81,0,0,0,0,0,0,28.61,-80.6,9.792,43.294,0,0,0,7825.385,943.385,2.044,7.079e-4,NaN,123.953,NaN,0.01,4.811e5,795.21,0.137,3.324,2.354,0.401,0.002,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.173e-4,10.22,82.034,90,0,2.335,15,1013.246,340.389,0.01,0.007
0.05,0.065,3.382,90.348,3.382,90.348,0,0,0,0,0,0,28.61,-80.6,9.792,34.484,0,0,0,7821.686,939.686,2.041,7.073e-4,NaN,123.916,NaN,0.012,5.797e5,783.539,0.275,3.308,3.251,0.386,0.002,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.33e-4,10.22,82.034,90,0,2.323,15,1013.242,340.389,0.01,0.007
0.06,0.103,4.271,88.88,4.271,88.88,0,0,0,0,0,0,28.61,-80.6,9.792,28.371,0,0,0,7817.987,935.987,2.039,7.066e-4,NaN,123.879,NaN,0.014,6.857e5,771.867,0.448,3.295,3.782,0.373,0.002,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.468e-4,10.22,82.034,90,0,2.306,14.999,1013.238,340.388,0.01,0.008
0.07,0.15,5.145,87.408,5.145,87.408,0,0,0,0,0,0,28.61,-80.6,9.792,23.992,0,0,0,7814.288,932.288,2.037,7.059e-4,NaN,123.843,NaN,0.017,7.956e5,760.195,0.647,3.284,4.063,0.362,0.002,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.587e-4,10.22,82.034,90,0,2.29,14.999,1013.232,340.388,0.01,0.009
0.08,0.206,6.005,86.012,6.005,86.012,0,0,0,0,0,0,28.61,-80.6,9.792,20.733,0,0,0,7810.73,928.73,2.035,7.053e-4,NaN,123.807,NaN,0.019,9.071e5,749.168,0.869,3.274,4.194,0.352,0.002,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.688e-4,10.22,82.034,90,0,2.273,14.999,1013.226,340.388,0.01,0.009
0.09,0.27,6.854,84.95,6.854,84.95,0,0,0,0,0,0,28.61,-80.6,9.792,18.221,0,0,0,7807.266,925.266,2.033,7.047e-4,NaN,123.773,NaN,0.021,1.02e6,740.786,1.109,3.266,4.239,0.344,0.002,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.776e-4,10.22,82.034,90,0,2.256,14.998,1013.218,340.388,0.01,0.01
0.1,0.343,7.693,83.922,7.693,83.922,0,0,0,0,0,0,28.61,-80.6,9.792,16.231,0,0,0,7803.801,921.801,2.03,7.04e-4,NaN,123.738,NaN,0.024,1.132e6,732.691,1.365,3.259,4.231,0.337,0.002,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9.85e-4,10.22,82.034,90,0,2.24,14.998,1013.21,340.388,0.01,0.011
0.11,0.424,8.522,82.891,8.522,82.891,0,0,0,0,0,0,28.61,-80.6,9.792,14.756,0,0,0,7800.337,918.337,2.028,7.034e-4,NaN,123.704,NaN,0.026,1.245e6,724.596,1.632,3.253,4.183,0.331,0.002,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.001,10.22,82.034,90,0,2.245,14.997,1013.2,340.387,0.01,0.011
0.12,0.514,9.341,81.859,9.341,81.859,0,0,0,0,0,0,28.61,-80.6,9.792,13.542,0,0,0,7796.873,914.873,2.026,7.028e-4,NaN,123.669,NaN,0.028,1.357e6,716.501,1.91,3.248,4.118,0.325,0.002,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.001,10.22,82.034,90,0,2.25,14.997,1013.19,340.387,0.01,0.012
