Time,Altitude
0.0,11.214
0.2,14.745
0.4,21.881
0.6,32.68
0.8,47.179
1.0,65.389
1.2,82.896
1.4,99.723
1.6,115.893
1.8,131.426
2.0,146.341
2.2,160.657
2.4,174.389
2.6,187.553
2.8,200.163
3.0,212.233
3.2,223.775
3.4,234.801
3.6,245.321
3.8,255.346
4.0,264.884
4.2,273.946
4.4,282.539
4.6,290.67
4.8,298.347
5.0,305.576
5.2,312.364
5.4,318.716
5.6,324.638
5.8,330.133
6.0,335.208
6.2,339.865
6.4,344.108
6.6,347.942
6.8,351.368
7.0,354.39
7.2,357.009
7.4,359.229
7.6,361.051
7.8,362.475
8.0,363.505
8.2,364.139
8.4,364.381
8.6,364.228
8.8,363.684
9.0,362.747
9.2,361.419
9.4,359.701
9.6,357.594
9.8,355.098
10.0,352.217
10.2,348.951
10.4,345.303
10.6,341.276
10.8,336.871
11.0,332.092
11.2,326.942
11.4,321.424
11.6,315.542
11.8,309.3
12.0,302.701
12.2,295.75
12.4,288.451
12.6,280.809
12.8,272.828
13.0,264.514
13.2,255.87
13.4,246.903
13.6,237.618
13.8,228.02
14.0,218.114
14.2,207.906
14.4,197.402
14.6,186.607
14.8,175.528
15.0,164.17
15.2,152.538
15.4,140.639
15.6,128.479
15.8,116.064
16.0,103.4
16.2,90.492
16.4,77.347
16.6,63.97
16.8,50.368
17.0,36.546
17.2,22.51
17.4,8.266
17.6,-6.18
